ID,Title,Description,Category,Price,Sale_Price,URL,ImageURL
189,Vortex Viper HD 12x50 Binocular [VOVPR5012HD],Vortex Viper HD 12x50 Binocular [VOVPR5012HD] The Viper HDs significantly step up their game in 2011 with HD (High Density) extra-low dispersion glass.,Binoculars,,,https://dccameras.com.au/collections/binoculars/products/vortex-viper-hd-12x50-binocular-vov203-vov203,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/vortex_viper_hd_12x50_binocular.jpg?v=1628527097
190,Kowa BD42 8x42 Prominar XD Binoculars [KWPRO842],Kowa BD-42 8x42 Prominar XD Binoculars [KWPRO842] Kowa&#39;s roof prism binoculars use a Schmidt-Pechan prism.,Binoculars,"$1,450.00","$1,255.00",https://dccameras.com.au/collections/binoculars/products/kowa-bd-42-8x42-prominar-xd-binoculars-kwpro842-kwpro842,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/kowa_bd-42_8x42_prominar_xd_binoculars_kwpro842.jpg?v=1628526985
191,Nikon Marine 7 x 50 IF HP WP Tropical (Black) Binoculars [BAA190EA],Nikon Marine 7 x 50 IF HP WP Tropical (Black) Binoculars [BAA190EA],Binoculars,"$1,408.00","$1,229.00",https://dccameras.com.au/collections/binoculars/products/nikon-marine-7-x-50-if-hp-wp-tropical-black-binoculars-baa190ea-baa190ea,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/nikon-7-x-50-if-hp-wp-tropical-black-marine-binoculars-front-review-01.jpg?v=1628526915
192,Zeiss Victory Pocket 8x25 Black Binoculars,"Zeiss 8x25 Victory Pocket Binocular [522038-9901] Whether you are strolling in the park or on a long walking tour, you can always enjoy birdwatching and observing the natural world.",Binoculars,"$1,399.00","$1,199.00",https://dccameras.com.au/collections/binoculars/products/zeiss-8x25-victory-pocket-binocular-522038-9901-522038-9901,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/zeiss_8x25_victory_pocket_binocular_522038-9901.jpg?v=1628526886
193,Kowa Prominar 10x32 DCF Binoculars with XD Lens [KWPRO1032],Kowa Prominar 10x32 DCF Binoculars with XD Lens [KWPRO1032] Kowa&#39;s roof prism binoculars use a Schmidt-Pechan prism.,Binoculars,"$1,350.00","$1,170.00",https://dccameras.com.au/collections/binoculars/products/kowa-prominar-10x32-dcf-binoculars-with-xd-lens-kwpro1032-kwpro1032,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/kowa_prominar_10x32_dcf_binoculars_with_xd_lens_kwpro1032.jpg?v=1628526793
194,Vortex Viper HD 10x50 Binoculars,"Vortex Viper HD 10x50 Binoculars The Viper HD Premium optics and rugged construction in a tremendously compact, lightweight package What more could you need? Well, perhaps a quality chest harness to comfortably and securely carry your investment in",Binoculars,"$1,299.00","$1,089.00",https://dccameras.com.au/collections/binoculars/products/vortex-viper-hd-10x50-binocular-vov202,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/vortex_viper_hd_10x50_binoculars_2_1.jpg?v=1628526680
195,Vortex Viper HD 10X42 Binocular,"Vortex Viper HD 10 X42 Binocular The ViperÂ® HD â€“ Premium optics and rugged construction in a tremendously compact, lightweight package â€“ What more could you need? Well, perhaps a quality chest harness to comfortably and securely carry your investment in",Binoculars,"$1,265.00",$899.00,https://dccameras.com.au/collections/binoculars/products/vortex-viper-hd-10x42-binocular-vov201,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/vortex_viper_hd_10_x42_binocular_1.jpg?v=1628526569
196,Vortex Viper HD 8x42 Binocular [VOV200],Vortex Viper HD 8x42 Binocular [VOV200] The Viper HDs significantly step up their game in 2011 with HD (High Density) extra-low dispersion glass.,Binoculars,"$1,155.00",$950.00,https://dccameras.com.au/collections/binoculars/products/vortex-viper-hd-8x42-binocular-vov200-vov200,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/vortex_viper_hd_6x42_binocular.jpg?v=1628526339
197,Kowa Prominar 8x32 DCF Binoculars with XD Lens [KWPRO832],"Kowa Prominar 8x32 DCF Binoculars with XD Lens [KWPRO832]Kowa&#39;s roof prism binoculars use a Schmidt-Pechan prism. One surface of the Pechan prism does not provide total reflection, so a highly reflective C3 coating has been applied. This allows for higher reflectivity than with silver or optically enhanced aluminum whi",Binoculars,"$1,130.00",$980.00,https://dccameras.com.au/collections/binoculars/products/kowa-prominar-8x32-dcf-binoculars-with-xd-lens-kwpro832-kwpro832,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/kowa_prominar_8x32_dcf_binoculars_with_xd_lens_kwpro832.jpg?v=1628526266
198,Yukon Tracker 3x42 Night Vision Binoculars [YU25028],"Yukon Tracker 3x42 Night Vision Binoculars [YU25028]The Yukon Tracker 3x42 Night Vision Binoculars have greater magnification and light gathering capacity than the 2x24 LT model. Like all other Yukon night vision binoculars, the Tracker 3x42 features compact dimensions and light weight. Ergonomic, rough body of shock-p",Binoculars,,,https://dccameras.com.au/collections/binoculars/products/yukon-tracker-3x42-night-vision-binoculars-yu25028-yu25028,https://cdn.shopify.com/s/files/1/0585/5661/2789/products/yukon_tracker_3x42_with_covers.jpg?v=1628526228
